accuracy,balanced_accuracy,precision,recall,specificity,f1_score,mcc,auc_roc,tp,tn,fp,fn,fold,model,cr_level,epochs_trained,n_train,n_test,train_duration_sec,energy_kwh,co2_emissions_kg,co2_emissions_g,avg_file_size_kb
0.7625,0.7625,0.7441860465116279,0.8,0.725,0.7710843373493976,0.5264828210920952,0.844375,32,29,11,8,1,Inception_DenseNet169_Attention,CR1_original,9,272,80,71.062434,0.002613761209403837,0.0018071832515551165,1.8071832515551165,105.310849609375
0.7875,0.7875,0.8108108108108109,0.75,0.825,0.7792207792207793,0.5766240421484852,0.899375,30,33,7,10,2,Inception_DenseNet169_Attention,CR1_original,12,272,80,56.355785,0.0021794524919461645,0.0015068974269089896,1.5068974269089896,105.310849609375
0.7625,0.7625,0.723404255319149,0.85,0.675,0.7816091954022989,0.5332285519249769,0.850625,34,27,13,6,3,Inception_DenseNet169_Attention,CR1_original,6,272,80,47.044894,0.00187358311225303,0.0012954159732259797,1.2954159732259798,105.310849609375
0.75,0.75,0.8125,0.65,0.85,0.7222222222222222,0.5103103630798288,0.844375,26,34,6,14,4,Inception_DenseNet169_Attention,CR1_original,7,272,80,47.379271,0.0019470880074353128,0.001346238066308857,1.3462380663088571,105.310849609375
0.825,0.825,0.8421052631578947,0.8,0.85,0.8205128205128205,0.6508140266182866,0.928125,32,34,6,8,5,Inception_DenseNet169_Attention,CR1_original,16,272,80,60.809316,0.0024236916874937815,0.001675767093341763,1.675767093341763,105.310849609375
0.7375,0.7375,0.88,0.55,0.925,0.676923076923077,0.512391895472064,0.8099999999999999,22,37,3,18,1,Inception_DenseNet169_Attention,CR15,8,272,80,67.744305,0.0024741839548375008,0.0017106780023981513,1.7106780023981514,99.370693359375
0.7875,0.7875000000000001,0.896551724137931,0.65,0.925,0.7536231884057971,0.5980586126161953,0.89125,26,37,3,14,2,Inception_DenseNet169_Attention,CR15,16,272,80,60.842568,0.0023692026615730255,0.0016380927814408672,1.6380927814408672,99.370693359375
0.775,0.7749999999999999,0.8055555555555556,0.725,0.825,0.7631578947368421,0.5527707983925666,0.885,29,33,7,11,3,Inception_DenseNet169_Attention,CR15,11,272,80,53.80911,0.0021323335246424668,0.0014743188546065726,1.4743188546065726,99.370693359375
0.6375,0.6375,0.7037037037037037,0.475,0.8,0.5671641791044776,0.2907855814299862,0.7312500000000001,19,32,8,21,4,Inception_DenseNet169_Attention,CR15,12,272,80,55.711455,0.0021926789572139114,0.0015160423504862277,1.5160423504862277,99.370693359375
0.8375,0.8375,0.8,0.9,0.775,0.8470588235294118,0.680336051416609,0.9187500000000001,36,31,9,4,5,Inception_DenseNet169_Attention,CR15,15,272,80,60.834751,0.002371196350381416,0.0016394712398135653,1.6394712398135654,99.370693359375
0.7125,0.7125,0.7297297297297297,0.675,0.75,0.7012987012987013,0.4262003789793151,0.8025000000000001,27,30,10,13,1,Inception_DenseNet169_Attention,CR25,10,272,80,70.647294,0.0025990074888054076,0.0017969823668424357,1.7969823668424356,92.713330078125
0.65,0.65,0.9285714285714286,0.325,0.975,0.48148148148148145,0.39477101697586137,0.869375,13,39,1,27,2,Inception_DenseNet169_Attention,CR25,6,272,80,46.317447,0.001877507329084246,0.0012981292199094677,1.2981292199094676,92.713330078125
0.825,0.825,0.8611111111111112,0.775,0.875,0.8157894736842105,0.6532745799184878,0.9,31,35,5,9,3,Inception_DenseNet169_Attention,CR25,26,272,80,78.050101,0.002960525822693382,0.002046940119594254,2.046940119594254,92.713330078125
0.7,0.7,0.8333333333333334,0.5,0.9,0.625,0.4364357804719848,0.826875,20,36,4,20,4,Inception_DenseNet169_Attention,CR25,11,272,80,53.674301,0.0021381136114408347,0.0014783152701999189,1.478315270199919,92.713330078125
0.75,0.75,0.9166666666666666,0.55,0.95,0.6875,0.545544725589981,0.879375,22,38,2,18,5,Inception_DenseNet169_Attention,CR25,9,272,80,51.743878,0.0020595024496366347,0.0014239626482057152,1.4239626482057153,92.713330078125
0.6375,0.6375,0.9230769230769231,0.3,0.975,0.4528301886792453,0.37272078116443347,0.751875,12,39,1,28,1,Inception_DenseNet169_Attention,CR50,6,272,80,65.632483,0.0024203518410983,0.0016734578868056165,1.6734578868056165,79.181787109375
0.825,0.825,0.8611111111111112,0.775,0.875,0.8157894736842105,0.6532745799184878,0.8875000000000001,31,35,5,9,2,Inception_DenseNet169_Attention,CR50,30,272,80,86.19953,0.0032310293274956923,0.002233969218353124,2.233969218353124,79.181787109375
0.7,0.7,0.6818181818181818,0.75,0.65,0.7142857142857143,0.40201512610368484,0.786875,30,26,14,10,3,Inception_DenseNet169_Attention,CR50,11,272,80,54.238077,0.0021646407784262807,0.0014966564452524931,1.496656445252493,79.181787109375
0.5,0.5,0.5,0.45,0.55,0.47368421052631576,0.0,0.503125,18,22,18,22,4,Inception_DenseNet169_Attention,CR50,8,272,80,50.093091,0.002009800547244727,0.001389598206171024,1.389598206171024,79.181787109375
0.7,0.7,0.6333333333333333,0.95,0.45,0.76,0.46188021535170065,0.824375,38,18,22,2,5,Inception_DenseNet169_Attention,CR50,11,272,80,54.057061,0.002145551777848863,0.00148345810027426,1.48345810027426,79.181787109375
0.7625,0.7625,0.8,0.7,0.825,0.7466666666666667,0.529150262212918,0.8262499999999999,28,33,7,12,1,Inception_DenseNet169_Attention,CR100,7,272,80,67.168497,0.0024739866530013657,0.0017105415857383273,1.7105415857383273,60.709990234375
0.725,0.725,0.78125,0.625,0.825,0.6944444444444444,0.4592793267718459,0.780625,25,33,7,15,2,Inception_DenseNet169_Attention,CR100,14,272,80,59.330327,0.002311858438711532,0.001598444354967979,1.598444354967979,60.709990234375
0.65,0.65,0.65,0.65,0.65,0.65,0.3,0.7318749999999999,26,26,14,14,3,Inception_DenseNet169_Attention,CR100,7,272,80,48.005918,0.0019313133785571303,0.0013353313143815641,1.3353313143815642,60.709990234375
0.5625,0.5625,0.5471698113207547,0.725,0.4,0.6236559139784946,0.13217526428635734,0.6268750000000001,29,16,24,11,4,Inception_DenseNet169_Attention,CR100,9,272,80,51.572962,0.0020460753621823835,0.001414679012241884,1.414679012241884,60.709990234375
0.6375,0.6375,0.72,0.45,0.825,0.5538461538461539,0.2966479394838265,0.743125,18,33,7,22,5,Inception_DenseNet169_Attention,CR100,6,272,80,46.22419,0.0018704406246200283,0.0012932432227091583,1.2932432227091584,60.709990234375
0.725,0.7250000000000001,0.875,0.525,0.925,0.65625,0.49099025303098287,0.805625,21,37,3,19,1,Inception_DenseNet169_Attention,CR500,9,272,80,69.938326,0.002564564462158139,0.001773168079345221,1.7731680793452211,15.00453125
0.6375,0.6375,0.5873015873015873,0.925,0.35,0.7184466019417476,0.3361227822436775,0.645,37,14,26,3,2,Inception_DenseNet169_Attention,CR500,9,272,80,51.233393,0.002035803854309977,0.0014075771787123155,1.4075771787123155,15.00453125
