accuracy,balanced_accuracy,precision,recall,specificity,f1_score,mcc,auc_roc,tp,tn,fp,fn,fold,model,train_cr,test_cr,avg_file_size_kb
0.7625,0.7625,0.92,0.575,0.95,0.7076923076923077,0.5663278844691233,0.888125,23,38,2,17,1,Inception_DenseNet169_Attention,CR1_original,CR1_original,107.0178955078125
0.75,0.75,0.9166666666666666,0.55,0.95,0.6875,0.545544725589981,0.8731249999999999,22,38,2,18,1,Inception_DenseNet169_Attention,CR1_original,CR15,101.03358154296875
0.725,0.7250000000000001,0.875,0.525,0.925,0.65625,0.49099025303098287,0.87375,21,37,3,19,1,Inception_DenseNet169_Attention,CR1_original,CR25,94.51796875
0.725,0.725,0.95,0.475,0.975,0.6333333333333333,0.5196152422706632,0.834375,19,39,1,21,1,Inception_DenseNet169_Attention,CR1_original,CR50,80.2589111328125
0.625,0.625,0.9166666666666666,0.275,0.975,0.4230769230769231,0.35007002100700246,0.799375,11,39,1,29,1,Inception_DenseNet169_Attention,CR1_original,CR100,60.9119140625
0.45,0.44999999999999996,0.4473684210526316,0.425,0.475,0.4358974358974359,-0.10012523486435178,0.5006249999999999,17,19,21,23,1,Inception_DenseNet169_Attention,CR1_original,CR500,14.39212646484375
0.55,0.55,0.5625,0.45,0.65,0.5,0.10206207261596575,0.573125,18,26,14,22,1,Inception_DenseNet169_Attention,CR1_original,CR1000,2.1260986328125
0.8375,0.8375,0.8648648648648649,0.8,0.875,0.8311688311688312,0.6769064842612652,0.921875,32,35,5,8,2,Inception_DenseNet169_Attention,CR1_original,CR1_original,110.1563720703125
0.8,0.8,0.9,0.675,0.925,0.7714285714285715,0.6196773353931867,0.903125,27,37,3,13,2,Inception_DenseNet169_Attention,CR1_original,CR15,104.81571044921876
0.8,0.8,1.0,0.6,1.0,0.75,0.6546536707079772,0.914375,24,40,0,16,2,Inception_DenseNet169_Attention,CR1_original,CR25,97.80516357421875
0.75,0.75,0.8846153846153846,0.575,0.925,0.696969696969697,0.5337605126836238,0.86875,23,37,3,17,2,Inception_DenseNet169_Attention,CR1_original,CR50,82.2360595703125
0.725,0.725,0.8,0.6,0.85,0.6857142857142857,0.46475800154489005,0.77,24,34,6,16,2,Inception_DenseNet169_Attention,CR1_original,CR100,62.10614013671875
0.575,0.575,0.5416666666666666,0.975,0.175,0.6964285714285714,0.25,0.64625,39,7,33,1,2,Inception_DenseNet169_Attention,CR1_original,CR500,15.3763916015625
0.4875,0.4875,0.4936708860759494,0.975,0.0,0.6554621848739496,-0.1125087900926024,0.45781250000000007,39,0,40,1,2,Inception_DenseNet169_Attention,CR1_original,CR1000,2.27972412109375
0.85,0.85,0.8333333333333334,0.875,0.825,0.8536585365853658,0.7008766440504625,0.931875,35,33,7,5,3,Inception_DenseNet169_Attention,CR1_original,CR1_original,110.27088623046875
0.8875,0.8875,0.8974358974358975,0.875,0.9,0.8860759493670886,0.7752423010845508,0.94,35,36,4,5,3,Inception_DenseNet169_Attention,CR1_original,CR15,105.16556396484376
0.85,0.8500000000000001,0.9117647058823529,0.775,0.925,0.8378378378378378,0.7080104323938431,0.904375,31,37,3,9,3,Inception_DenseNet169_Attention,CR1_original,CR25,98.2468994140625
0.75,0.75,0.7941176470588235,0.675,0.825,0.7297297297297297,0.5057217374241737,0.85625,27,33,7,13,3,Inception_DenseNet169_Attention,CR1_original,CR50,83.12705078125
0.725,0.7250000000000001,0.75,0.675,0.775,0.7105263157894737,0.45226701686664544,0.795625,27,31,9,13,3,Inception_DenseNet169_Attention,CR1_original,CR100,63.416357421875
0.6125,0.6125,0.5737704918032787,0.875,0.35,0.693069306930693,0.26436307295072103,0.6224999999999999,35,14,26,5,3,Inception_DenseNet169_Attention,CR1_original,CR500,14.64443359375
0.5375,0.5375,0.5238095238095238,0.825,0.25,0.6407766990291263,0.09166984970282113,0.4675,33,10,30,7,3,Inception_DenseNet169_Attention,CR1_original,CR1000,2.51783447265625
0.725,0.725,0.68,0.85,0.6,0.7555555555555555,0.46475800154489005,0.7787500000000002,34,24,16,6,4,Inception_DenseNet169_Attention,CR1_original,CR1_original,110.9067138671875
0.7125,0.7125,0.6808510638297872,0.8,0.625,0.735632183908046,0.4316612087011717,0.794375,32,25,15,8,4,Inception_DenseNet169_Attention,CR1_original,CR15,105.82740478515625
0.7,0.7,0.6739130434782609,0.775,0.625,0.7209302325581395,0.4045773899393389,0.79125,31,25,15,9,4,Inception_DenseNet169_Attention,CR1_original,CR25,98.661669921875
0.6875,0.6875,0.6744186046511628,0.725,0.65,0.6987951807228916,0.3760591579229251,0.70625,29,26,14,11,4,Inception_DenseNet169_Attention,CR1_original,CR50,83.3134765625
0.5875,0.5875,0.5813953488372093,0.625,0.55,0.6024096385542169,0.17549427369736506,0.63375,25,22,18,15,4,Inception_DenseNet169_Attention,CR1_original,CR100,62.861083984375
0.4875,0.4875,0.4936708860759494,0.975,0.0,0.6554621848739496,-0.1125087900926024,0.3875,39,0,40,1,4,Inception_DenseNet169_Attention,CR1_original,CR500,14.362744140625
0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0.38562499999999994,40,0,40,0,4,Inception_DenseNet169_Attention,CR1_original,CR1000,2.227392578125
0.75,0.75,0.7,0.875,0.625,0.7777777777777778,0.5163977794943223,0.853125,35,25,15,5,5,Inception_DenseNet169_Attention,CR1_original,CR1_original,110.61900634765625
0.7625,0.7625,0.7560975609756098,0.775,0.75,0.7654320987654321,0.5251641394443731,0.859375,31,30,10,9,5,Inception_DenseNet169_Attention,CR1_original,CR15,105.13323974609375
0.7625,0.7625,0.7692307692307693,0.75,0.775,0.759493670886076,0.5251641394443731,0.865625,30,31,9,10,5,Inception_DenseNet169_Attention,CR1_original,CR25,98.33975830078126
0.7375,0.7375,0.7435897435897436,0.725,0.75,0.7341772151898734,0.4751485071163376,0.81875,29,30,10,11,5,Inception_DenseNet169_Attention,CR1_original,CR50,83.644091796875
0.6125,0.6125,0.5882352941176471,0.75,0.475,0.6593406593406593,0.2340229353715547,0.7562500000000001,30,19,21,10,5,Inception_DenseNet169_Attention,CR1_original,CR100,63.208544921875
0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0.573125,40,0,40,0,5,Inception_DenseNet169_Attention,CR1_original,CR500,14.77828369140625
0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0.33812500000000006,40,0,40,0,5,Inception_DenseNet169_Attention,CR1_original,CR1000,2.31925048828125
