accuracy,balanced_accuracy,precision,recall,specificity,f1_score,mcc,auc_roc,tp,tn,fp,fn,fold,model,train_cr,test_cr
0.7875,0.7875000000000001,0.7804878048780488,0.8,0.775,0.7901234567901234,0.5751797717724086,0.89,32,31,9,8,1,Inception_DenseNet169_Attention,Mixed,CR1_original
0.85,0.8500000000000001,0.8888888888888888,0.8,0.9,0.8421052631578947,0.7035264706814485,0.913125,32,36,4,8,1,Inception_DenseNet169_Attention,Mixed,CR15
0.8375,0.8375,0.8648648648648649,0.8,0.875,0.8311688311688312,0.6769064842612652,0.9137500000000001,32,35,5,8,1,Inception_DenseNet169_Attention,Mixed,CR25
0.7375,0.7375,0.88,0.55,0.925,0.676923076923077,0.512391895472064,0.854375,22,37,3,18,1,Inception_DenseNet169_Attention,Mixed,CR50
0.6875,0.6875,0.8947368421052632,0.425,0.95,0.576271186440678,0.440605121584535,0.8618750000000001,17,38,2,23,1,Inception_DenseNet169_Attention,Mixed,CR100
0.525,0.525,0.5714285714285714,0.2,0.85,0.2962962962962963,0.0657951694959769,0.576875,8,34,6,32,1,Inception_DenseNet169_Attention,Mixed,CR500
0.55,0.55,0.5303030303030303,0.875,0.225,0.660377358490566,0.1315903389919538,0.6656249999999999,35,9,31,5,1,Inception_DenseNet169_Attention,Mixed,CR1000
0.8875,0.8875,0.8974358974358975,0.875,0.9,0.8860759493670886,0.7752423010845508,0.9406249999999999,35,36,4,5,2,Inception_DenseNet169_Attention,Mixed,CR1_original
0.8375,0.8375,0.8857142857142857,0.775,0.9,0.8266666666666667,0.680336051416609,0.913125,31,36,4,9,2,Inception_DenseNet169_Attention,Mixed,CR15
0.8375,0.8374999999999999,0.9354838709677419,0.725,0.95,0.8169014084507042,0.6927633078175603,0.9425,29,38,2,11,2,Inception_DenseNet169_Attention,Mixed,CR25
0.825,0.825,0.8421052631578947,0.8,0.85,0.8205128205128205,0.6508140266182866,0.91125,32,34,6,8,2,Inception_DenseNet169_Attention,Mixed,CR50
0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.8593749999999999,30,30,10,10,2,Inception_DenseNet169_Attention,Mixed,CR100
0.6125,0.6125,0.6666666666666666,0.45,0.775,0.5373134328358209,0.23791547571544322,0.619375,18,31,9,22,2,Inception_DenseNet169_Attention,Mixed,CR500
0.5375,0.5375000000000001,0.5789473684210527,0.275,0.8,0.3728813559322034,0.088121024316907,0.4928125,11,32,8,29,2,Inception_DenseNet169_Attention,Mixed,CR1000
0.875,0.875,0.8260869565217391,0.95,0.8,0.8837209302325582,0.7585826061362605,0.92125,38,32,8,2,3,Inception_DenseNet169_Attention,Mixed,CR1_original
0.8625,0.8625,0.8222222222222222,0.925,0.8,0.8705882352941177,0.730731314484506,0.9325,37,32,8,3,3,Inception_DenseNet169_Attention,Mixed,CR15
0.85,0.85,0.8333333333333334,0.875,0.825,0.8536585365853658,0.7008766440504625,0.9075,35,33,7,5,3,Inception_DenseNet169_Attention,Mixed,CR25
0.8375,0.8374999999999999,0.8292682926829268,0.85,0.825,0.8395061728395061,0.6752110364284797,0.90875,34,33,7,6,3,Inception_DenseNet169_Attention,Mixed,CR50
0.775,0.7749999999999999,0.7391304347826086,0.85,0.7,0.7906976744186046,0.556293911166591,0.855,34,28,12,6,3,Inception_DenseNet169_Attention,Mixed,CR100
0.5875,0.5875,0.5813953488372093,0.625,0.55,0.6024096385542169,0.17549427369736506,0.615,25,22,18,15,3,Inception_DenseNet169_Attention,Mixed,CR500
0.5,0.5,0.5,0.925,0.075,0.6491228070175439,0.0,0.5956250000000001,37,3,37,3,3,Inception_DenseNet169_Attention,Mixed,CR1000
